,seq_id,ratio1 ,ratio2 ,both
0,refactor | rewrite | refactor -z | balance | rewrite | refactor -z | balance | balance | balance | refactor -z,1.0,1.0,2.0
101,rewrite | refactor | rewrite -z | refactor -z | balance | rewrite -z | rewrite -z | lut_opt | rewrite | rewrite,1.0,1.0,2.0
102,refactor -z | rewrite -z | rewrite -z | refactor -z | balance | refactor -z | rewrite -z | lut_opt | refactor | rewrite,1.0,1.0,2.0
103,rewrite | refactor | rewrite -z | rewrite | refactor -z | rewrite | refactor | lut_opt | refactor -z | refactor,1.0,1.0,2.0
104,rewrite | rewrite -z | rewrite -z | refactor -z | balance | refactor -z | refactor | lut_opt | refactor | rewrite,1.0,1.0,2.0
105,refactor -z | rewrite -z | refactor | refactor -z | balance | refactor -z | refactor | lut_opt | rewrite | rewrite,1.0,1.0,2.0
106,balance | rewrite -z | refactor | balance | balance | refactor -z | rewrite -z | lut_opt | refactor | rewrite,1.0,1.0,2.0
107,rewrite | rewrite -z | rewrite -z | balance | balance | refactor -z | refactor | lut_opt | rewrite | rewrite,1.0,1.0,2.0
108,refactor -z | refactor | rewrite -z | balance | balance | refactor -z | rewrite -z | lut_opt | rewrite | rewrite,1.0,1.0,2.0
109,refactor -z | rewrite -z | rewrite -z | balance | balance | refactor -z | refactor | lut_opt | refactor | rewrite,1.0,1.0,2.0
110,refactor -z | rewrite -z | refactor | balance | balance | refactor -z | rewrite -z | lut_opt | refactor | rewrite,1.0,1.0,2.0
111,refactor -z | rewrite -z | rewrite -z | balance | balance | refactor -z | rewrite -z | lut_opt | refactor | rewrite,1.0,1.0,2.0
112,balance | rewrite -z | refactor | refactor -z | balance | refactor -z | refactor | lut_opt | rewrite | rewrite,1.0,1.0,2.0
113,rewrite | refactor | rewrite -z | refactor -z | balance | refactor -z | rewrite -z | lut_opt | rewrite | rewrite,1.0,1.0,2.0
114,balance | refactor | rewrite -z | rewrite | balance | rewrite | refactor | lut_opt | rewrite | refactor,1.0,1.0,2.0
115,refactor -z | rewrite -z | rewrite -z | balance | balance | refactor -z | refactor | lut_opt | rewrite | rewrite,1.0,1.0,2.0
100,rewrite | rewrite -z | rewrite -z | balance | balance | refactor -z | rewrite -z | lut_opt | refactor | rewrite,1.0,1.0,2.0
99,rewrite | refactor | rewrite -z | balance | balance | refactor -z | rewrite -z | lut_opt | rewrite | rewrite,1.0,1.0,2.0
98,refactor -z | rewrite -z | rewrite -z | refactor -z | balance | refactor -z | refactor | lut_opt | refactor | rewrite,1.0,1.0,2.0
